GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,OPTAX.id,OPTAX.display-label,PRODSVC2012.id,PRODSVC2012.display-label,PRODSVC2012.annotation.id,YEAR.id,ESTAB,TVALLN,RCPTOT,LINE_PCT,LINEALL_PCT,LINE_COV,KB_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Type of operation or tax status code,Meaning of Type of operation or tax status code,Products and services code,Meaning of Products and services code,Id,Year,Number of establishments,"Total sales of estabs reporting product line ($1,000)","Sales ($1,000)",Product line sales as % of total sales of estabs reporting line (%),Product line sales as % of total sales of all estabs (%),Response coverage of product lines inquiry (%),Percent of sales accounted for by industry (%)
0100000US,,United States,,42383,Industrial machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,423830,Industrial machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,4238301,Food-processing machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4238301,Food-processing machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4238302,Hydraulic and pneumatic (fluid-power) machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4238302,Hydraulic and pneumatic (fluid-power) machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,42383022,"Hydraulic and pneumatic parts, accessories, and supplies merchant wholesalers",,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,42383022,"Hydraulic and pneumatic parts, accessories, and supplies merchant wholesalers",,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
0100000US,,United States,,4238304,Metalworking machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4238304,Metalworking machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4238305,Materials handling equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4238305,Materials handling equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4238307,Other industrial machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4238307,Other industrial machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,42384,Industrial supplies merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,42384,Industrial supplies merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,423840,Industrial supplies merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,423840,Industrial supplies merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4239,Miscellaneous durable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,4239,Miscellaneous durable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,42399,Other miscellaneous durable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,42399,Other miscellaneous durable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,ECONF$D,ECONF$D,ECONF$D,ECONF$D,ECONF$X,ECONF$D
0100000US,,United States,,423990,Other miscellaneous durable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,423990,Other miscellaneous durable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,ECONF$D,ECONF$D,ECONF$D,ECONF$D,ECONF$X,ECONF$D
0100000US,,United States,,4239903,General merchandise (durable goods) merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
0100000US,,United States,,4239903,General merchandise (durable goods) merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
0100000US,,United States,,4239906,Other durable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4239906,Other durable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,ECONF$D,ECONF$D,ECONF$D,ECONF$D,ECONF$X,ECONF$D
0100000US,,United States,,424,"Merchant wholesalers, nondurable goods",,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,424,"Merchant wholesalers, nondurable goods",,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,424,"Merchant wholesalers, nondurable goods",,20,Manufacturers' sales branches and offices,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,4246,Chemical and allied products merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,4246,Chemical and allied products merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,42461,Plastics materials and basic forms and shapes merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,42461,Plastics materials and basic forms and shapes merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,424610,Plastics materials and basic forms and shapes merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,424610,Plastics materials and basic forms and shapes merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,42469,Other chemical and allied products merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,42469,Other chemical and allied products merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,ECONF$Z
0100000US,,United States,,424690,Other chemical and allied products merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,424690,Other chemical and allied products merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,ECONF$Z
0100000US,,United States,,4246902,Other chemical and allied products merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,4246902,Other chemical and allied products merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,ECONF$Z
0100000US,,United States,,4249,Miscellaneous nondurable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,4249101,Farm supplies merchant wholesalers- farm dealers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4249101,Farm supplies merchant wholesalers- farm dealers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,42493,"Flower, nursery stock, and florists' supplies merchant wholesalers",,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,42493,"Flower, nursery stock, and florists' supplies merchant wholesalers",,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,424930,"Flower, nursery stock, and florists' supplies merchant wholesalers",,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,424930,"Flower, nursery stock, and florists' supplies merchant wholesalers",,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,42499,Other miscellaneous nondurable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,42499,Other miscellaneous nondurable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,424990,Other miscellaneous nondurable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,424990,Other miscellaneous nondurable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,4249902,General merchandise (nondurable goods) merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
0100000US,,United States,,4249902,General merchandise (nondurable goods) merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
0100000US,,United States,,4249904,Other nondurable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,ECONF$Z
0100000US,,United States,,4249904,Other nondurable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,ECONF$D,ECONF$D,ECONF$D,ECONF$D,ECONF$X,ECONF$D
0100000US,,United States,,425,Wholesale electronic markets and agents and brokers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,4251,Wholesale electronic markets and agents and brokers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,42512,Wholesale trade agents and brokers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,425120,Wholesale trade agents and brokers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,4251204,"Agents and brokers, nondurable goods",,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,,
0100000US,,United States,,42512049,Miscellaneous nondurable goods agents and brokers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
