GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,OPTAX.id,OPTAX.display-label,PRODSVC2012.id,PRODSVC2012.display-label,PRODSVC2012.annotation.id,YEAR.id,ESTAB,TVALLN,RCPTOT,LINE_PCT,LINEALL_PCT,LINE_COV,KB_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Type of operation or tax status code,Meaning of Type of operation or tax status code,Products and services code,Meaning of Products and services code,Id,Year,Number of establishments,"Total sales of estabs reporting product line ($1,000)","Sales ($1,000)",Product line sales as % of total sales of estabs reporting line (%),Product line sales as % of total sales of all estabs (%),Response coverage of product lines inquiry (%),Percent of sales accounted for by industry (%)
0100000US,,United States,,4238,"Machinery, equipment, and supplies merchant wholesalers",,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,3843,43173318,7966336,18.5,2.0,63.4,91.9
0100000US,,United States,,4238,"Machinery, equipment, and supplies merchant wholesalers",,20,Manufacturers' sales branches and offices,12220,"Lawn and garden machinery, equipment, and parts",,2012,20,14281281,2679006,18.8,2.1,75.3,99.8
0100000US,,United States,,42381,Construction and mining (except oil well) machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,250,2487839,98692,4.0,0.1,5.3,0.8
0100000US,,United States,,42381,Construction and mining (except oil well) machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,250,2487839,98692,4.0,0.2,5.0,1.1
0100000US,,United States,,423810,Construction and mining (except oil well) machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,250,2487839,98692,4.0,0.1,5.3,0.8
0100000US,,United States,,423810,Construction and mining (except oil well) machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,250,2487839,98692,4.0,0.2,5.0,1.1
0100000US,,United States,,42382,Farm and garden machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,3404,53975368,10456458,19.4,11.6,79.7,89.8
0100000US,,United States,,42382,Farm and garden machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,3384,39694087,7777452,19.6,11.0,75.6,89.7
0100000US,,United States,,42382,Farm and garden machinery and equipment merchant wholesalers,,20,Manufacturers' sales branches and offices,12220,"Lawn and garden machinery, equipment, and parts",,2012,20,14281281,2679006,18.8,14.0,92.6,99.8
0100000US,,United States,,423820,Farm and garden machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,3404,53975368,10456458,19.4,11.6,79.7,89.8
0100000US,,United States,,423820,Farm and garden machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,3384,39694087,7777452,19.6,11.0,75.6,89.7
